Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,WAR,playerid
Dick Bertell,- - -,444,1447,10,91,112,2,7.3 %,13.0 %,.063,.282,.250,.305,.312,.273,65,3.4,1000913
Dizzy Trout,- - -,533,1047,20,99,110,7,5.6 %,21.6 %,.106,.259,.213,.260,.319,.273,54,4.3,1013196
Virgil Stallcup,- - -,587,2131,22,171,214,9,2.4 %,8.5 %,.093,.256,.241,.260,.334,.273,52,-3.3,1012393
Amos Rusie,- - -,487,1763,8,209,176,25,1.5 %,11.6 %,.072,.277,.247,.261,.319,.273,61,-1.3,1011308
Jim Donnelly,- - -,660,2621,2,324,237,173,6.5 %,6.8 %,.049,.248,.229,.284,.278,.273,74,2.0,1003385
Jimmy Jordan,Dodgers,376,1328,2,102,118,8,2.8 %,5.7 %,.051,.272,.257,.279,.308,.273,56,-1.7,1006609
Wilbur Cooper,- - -,521,1316,6,111,106,12,3.6 %,10.6 %,.070,.265,.239,.269,.309,.273,58,3.3,1002602
Ned Cuthbert,- - -,452,2178,8,453,179,69,3.0 %,2.1 %,.062,.270,.254,.276,.317,.273,93,2.7,1002912
Lon Knight,- - -,545,2387,3,391,198,2,4.1 %,5.4 %,.077,.245,.243,.274,.319,.273,92,3.1,1007042
Mike Tyson,- - -,984,3200,27,281,269,23,5.5 %,12.8 %,.086,.270,.241,.285,.327,.273,64,1.3,1013258
John Richmond,- - -,440,1833,5,239,83,1,5.6 %,10.4 %,.067,.241,.238,.283,.305,.273,99,7.0,1010927
Roberto Pena,- - -,587,2064,13,174,154,10,5.5 %,11.4 %,.065,.272,.245,.290,.310,.273,72,-1.3,1010152
Tommy Thevenow,- - -,1229,4484,2,380,456,23,4.7 %,5.0 %,.047,.261,.247,.285,.294,.273,49,-6.1,1012952
Marv Breeding,- - -,415,1352,7,154,92,19,4.9 %,13.3 %,.064,.285,.250,.288,.314,.273,67,2.8,1001380
Art Nehf,- - -,464,1047,8,90,76,7,8.2 %,11.7 %,.069,.234,.210,.281,.279,.273,60,2.5,1009485
Pete Mackanin,- - -,530,1686,30,161,141,27,4.5 %,17.2 %,.113,.258,.226,.263,.339,.272,62,-2.0,1007912
Chick Fulmer,- - -,583,2482,8,360,261,14,1.7 %,4.0 %,.063,.275,.261,.273,.324,.272,94,10.8,1004400
Hooks Dauss,Tigers,540,1318,6,107,107,3,10.7 %,22.0 %,.077,.248,.189,.284,.266,.272,57,3.6,1003011
Jerry Terrell,- - -,583,1766,4,218,125,50,4.3 %,9.1 %,.050,.277,.253,.288,.304,.272,64,-0.2,1012922
Cesar Izturis,- - -,1308,4679,17,441,312,110,4.8 %,9.2 %,.068,.277,.254,.293,.322,.272,62,3.2,656
Frank Duffy,- - -,883,2924,26,248,240,49,5.8 %,11.7 %,.079,.257,.232,.279,.311,.272,67,8.4,1003532
Jose Lind,- - -,1031,4001,9,368,324,62,5.4 %,9.2 %,.061,.278,.254,.295,.316,.272,68,3.3,1007623
Fred Kendall,- - -,851,2823,31,170,244,5,6.7 %,8.5 %,.078,.245,.234,.285,.312,.272,70,2.3,1006828
John Bateman,- - -,1017,3585,81,250,375,10,4.8 %,17.0 %,.121,.256,.230,.271,.350,.272,71,3.0,1000653
