Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,WAR,playerid
Heinie Groh,- - -,1676,7035,26,918,566,180,9.9 %,4.9 %,.092,.307,.292,.373,.384,.365,122,50.4,1005078
Eddie Robinson,- - -,1315,4891,172,546,723,10,10.7 %,7.3 %,.172,.259,.268,.353,.440,.364,113,18.1,1011063
Dick Porter,- - -,675,2844,11,426,282,23,9.4 %,6.5 %,.106,.329,.308,.376,.414,.364,102,6.1,1010451
Jayson Werth,- - -,1135,4464,170,628,577,114,12.0 %,23.4 %,.197,.331,.274,.367,.471,.364,125,29.2,1327
Butch Nieman,Braves,332,1183,37,147,167,20,10.9 %,10.1 %,.176,.260,.256,.339,.432,.364,116,5.5,1009588
Mike Stanley,- - -,1439,4989,187,625,702,13,13.1 %,18.6 %,.188,.301,.270,.370,.458,.364,118,21.4,1012416
Gus Zernial,- - -,1234,4561,237,572,776,15,8.4 %,16.6 %,.221,.271,.265,.329,.486,.364,113,14.4,1014432
Sam Leslie,- - -,822,2711,36,311,389,14,8.0 %,4.4 %,.117,.309,.304,.366,.421,.364,117,11.8,1007559
Dusty Miller,- - -,655,2836,22,444,421,206,6.1 %,6.4 %,.119,.336,.301,.352,.420,.364,102,9.5,1008887
Joe Wood,- - -,696,2272,23,266,325,23,9.2 %,10.0 %,.128,.320,.283,.357,.411,.364,111,7.8,1014224
Charlie Hickman,- - -,1081,4252,59,478,614,72,3.6 %, ,.145,.000,.295,.331,.440,.364,126,21.3,1005773
Pat Collins,- - -,543,1475,33,146,168,4,15.9 %,13.7 %,.130,.282,.254,.378,.385,.364,103,6.8,1002460
Freddie Lindstrom,- - -,1438,6104,103,895,779,84,5.5 %,4.5 %,.138,.314,.311,.351,.449,.364,109,30.6,1007631
Luis Gonzalez,- - -,2584,10531,354,1412,1439,128,11.0 %,11.6 %,.196,.291,.283,.367,.479,.364,118,55.3,55
Wally Moses,- - -,2012,8253,89,1124,679,174,9.9 %,5.5 %,.125,.301,.291,.364,.416,.364,107,32.2,1009244
Mark Grace,- - -,2234,9290,173,1179,1146,70,11.6 %,6.9 %,.139,.309,.303,.383,.442,.364,120,45.7,56
Mike Greenwell,Red Sox,1255,5166,130,657,726,80,8.9 %,7.0 %,.160,.305,.303,.368,.463,.364,120,25.7,1005006
Paul Konerko,- - -,2265,9281,434,1147,1390,9,9.8 %,14.4 %,.210,.287,.281,.356,.491,.364,120,26.0,242
Joe Torre,- - -,2206,8802,252,996,1185,23,8.9 %,12.4 %,.155,.318,.297,.365,.452,.364,129,62.3,1013133
Wes Ferrell,- - -,547,1345,38,175,208,2,9.6 %,13.8 %,.166,.305,.280,.351,.446,.364,100,12.2,1004010
Danny Litwhiler,- - -,1057,3858,107,428,451,11,7.8 %,9.8 %,.157,.291,.281,.342,.438,.364,117,17.7,1007670
Shawn Green,- - -,1937,7963,328,1129,1070,162,9.3 %,16.5 %,.212,.305,.283,.355,.494,.364,118,31.2,651
Cal Abrams,- - -,567,1942,32,257,138,12,15.7 %,14.9 %,.123,.310,.269,.386,.392,.364,116,7.9,1000025
Dave Winfield,- - -,2961,12358,465,1669,1833,223,9.8 %,13.6 %,.192,.296,.283,.353,.475,.364,128,59.9,1014127
Tim Hendryx,- - -,416,1546,6,152,192,26,12.0 %,8.8 %,.101,.307,.276,.372,.376,.364,116,6.1,1005645
Tim Jordan,- - -,540,2124,32,220,232,48,12.0 %,40.0 %,.120,.000,.261,.355,.382,.364,133,11.8,1006619
Brad Hawpe,- - -,910,3401,124,400,492,13,12.6 %,23.8 %,.202,.337,.275,.368,.477,.364,112,3.6,1885
Bill Everitt,- - -,698,3124,11,535,341,186,6.8 %,7.0 %,.072,.363,.317,.368,.389,.364,103,11.0,1003872
Tim O'Rourke,- - -,387,1725,1,272,204,81,11.4 %,4.3 %,.061,.309,.291,.380,.352,.363,108,4.9,1009845
Doc Gessler,- - -,880,3456,14,370,363,142,9.6 %, ,.091,.000,.280,.370,.370,.363,128,17.5,1004642
Ginger Beaumont,- - -,1463,6281,39,955,617,254,6.8 %,6.7 %,.082,.282,.311,.362,.393,.363,121,34.0,1000733
Wally Moon,- - -,1457,5566,142,737,661,89,11.6 %,10.6 %,.157,.303,.289,.371,.445,.363,119,22.7,1009085
Lefty Marr,- - -,363,1626,2,244,186,92,10.2 %,5.0 %,.090,.305,.289,.368,.379,.363,116,7.3,1008129
Dale Mitchell,- - -,1127,4357,41,555,403,45,7.9 %,2.7 %,.104,.315,.312,.368,.416,.363,114,19.0,1009000
Cal McVey,- - -,530,2543,11,555,448,25,1.2 %,2.0 %,.101,.350,.346,.354,.446,.363,138,20.6,1008696
Carl Reynolds,- - -,1222,4879,80,672,699,112,5.3 %,6.3 %,.156,.311,.302,.346,.458,.363,106,19.5,1010864
Frank McCormick,- - -,1534,6207,128,722,951,27,6.4 %,3.0 %,.135,.293,.299,.348,.434,.363,118,33.3,1008413
Harry Hooper,- - -,2309,10244,75,1429,817,375,11.1 %,5.2 %,.106,.294,.281,.368,.387,.363,116,52.3,1006002
George Kelly,- - -,1622,6565,148,819,1020,65,5.9 %,10.6 %,.156,.316,.297,.342,.452,.363,109,28.9,1006799
Hank Edwards,- - -,735,2409,51,285,276,9,8.6 %,11.0 %,.160,.300,.280,.343,.440,.363,116,10.0,1003687
Odell Hale,- - -,1062,4122,73,551,573,57,8.6 %,7.6 %,.152,.301,.289,.352,.441,.363,100,15.6,1005224
Mickey Tettleton,- - -,1461,5745,245,711,732,23,16.5 %,22.8 %,.208,.278,.241,.369,.449,.363,122,28.5,1012939
Richie Sexson,- - -,1363,5604,306,748,943,14,10.5 %,23.4 %,.246,.293,.261,.344,.507,.363,118,17.2,709
Cliff Johnson,- - -,1360,4603,196,539,699,9,12.3 %,15.6 %,.202,.267,.258,.355,.459,.363,126,17.1,1006437
Marty McManus,- - -,1831,7563,120,1008,999,126,8.9 %,7.4 %,.141,.302,.289,.357,.430,.363,100,29.5,1008637
Jason Bay,- - -,1278,5258,222,737,754,95,12.1 %,23.1 %,.214,.313,.266,.360,.481,.363,121,20.3,1717
Chief Meyers,- - -,992,3226,14,276,363,44,8.5 %,5.4 %,.086,.308,.291,.367,.378,.363,118,21.3,1008823
Joe Adcock,- - -,1959,7304,336,823,1122,20,8.1 %,14.5 %,.208,.285,.277,.337,.485,.362,123,34.2,1000067
Mickey Vernon,- - -,2409,9834,172,1196,1311,137,9.7 %,8.8 %,.143,.301,.286,.359,.428,.362,115,36.2,1013416
Johnny Mokan,- - -,582,2219,32,282,273,26,9.3 %,6.8 %,.118,.303,.291,.364,.409,.362,96,0.4,1009036
Paul O'Neill,- - -,2042,8329,281,1041,1269,141,10.7 %,14.0 %,.183,.306,.288,.363,.470,.362,120,41.0,1009818
Oscar Gamble,- - -,1574,5197,200,656,666,47,11.7 %,10.5 %,.189,.263,.265,.356,.454,.362,127,20.6,1004473
Tom McCreery,- - -,799,3344,26,464,386,116,9.2 %,11.9 %,.111,.390,.290,.359,.401,.362,110,11.8,1008431
Babe Borton,- - -,317,1142,4,139,136,21,14.0 %,9.9 %,.082,.289,.270,.381,.352,.362,118,5.2,1001209
Jake Daubert,- - -,2014,8742,56,1117,722,251,7.1 %,5.6 %,.097,.318,.303,.360,.401,.362,117,43.4,1003005
Jimmy Wynn,- - -,1917,8010,291,1105,964,225,15.3 %,17.8 %,.186,.274,.250,.366,.436,.362,130,52.8,1014313
Billy Southworth,- - -,1191,4927,52,661,561,138,8.2 %,3.0 %,.117,.299,.297,.359,.415,.362,112,21.8,1012291
Bob Watson,- - -,1829,6962,184,802,989,27,9.4 %,11.4 %,.152,.312,.295,.364,.447,.362,128,31.1,1013677
George Kell,- - -,1795,7528,78,881,870,51,8.2 %,3.8 %,.107,.311,.306,.367,.414,.362,111,38.2,1006783
Dan McGann,- - -,1436,6047,42,842,727,282,7.1 %,5.3 %,.097,.333,.284,.364,.381,.362,117,36.3,1008501
Jocko Milligan,- - -,772,3210,49,440,497,41,6.5 %,7.9 %,.147,.309,.286,.341,.433,.362,115,21.4,1008944
Eddie Yost,- - -,2109,9175,139,1215,683,72,17.6 %,10.0 %,.118,.273,.254,.394,.371,.362,114,37.0,1014357
Al Shaw,- - -,474,1756,14,235,170,64,9.9 %,11.1 %,.111,.334,.281,.353,.392,.362,123,8.3,1011817
Richie Ashburn,- - -,2189,9736,29,1322,586,234,12.3 %,5.9 %,.074,.327,.308,.396,.382,.362,115,57.4,1000335
Jack Clements,- - -,1157,4704,77,619,687,55,7.2 %,7.7 %,.135,.305,.286,.347,.421,.362,113,28.9,1002338
Charlie Hollocher,Cubs,760,3390,14,411,241,99,8.2 %,2.8 %,.088,.311,.304,.370,.392,.362,112,23.7,1005964
Josh Willingham,- - -,1055,4252,181,516,592,33,11.8 %,22.0 %,.215,.294,.256,.359,.471,.362,123,16.8,2103
Charlie Jamieson,- - -,1779,7488,18,1062,552,131,10.0 %,4.6 %,.082,.318,.303,.378,.385,.362,103,21.3,1006355
Johnny Bench,Reds,2152,8673,389,1091,1376,68,10.3 %,14.7 %,.208,.273,.267,.342,.476,.362,125,74.8,1000826
Andre Thornton,- - -,1553,6295,253,792,895,48,13.9 %,13.5 %,.198,.256,.254,.360,.452,.361,122,23.8,1013037
Butch Henline,- - -,740,2382,40,258,268,18,8.1 %,6.5 %,.123,.300,.291,.361,.414,.361,95,8.7,1005653
Roger Maris,- - -,1463,5846,275,826,851,21,11.2 %,12.5 %,.216,.254,.260,.345,.476,.361,126,36.9,1008110
Paul Molitor,- - -,2682,12167,234,1782,1307,504,9.0 %,10.2 %,.142,.326,.306,.369,.448,.361,122,67.7,1009040
Tilly Walker,- - -,1421,5668,118,696,679,129,7.3 %,9.8 %,.146,.296,.281,.339,.427,.361,112,23.3,1013534
Aramis Ramirez,- - -,1923,7939,354,1008,1276,25,7.3 %,13.8 %,.216,.292,.285,.345,.501,.361,118,37.4,1002
Lew Fonseca,- - -,937,3724,31,518,485,64,5.0 %,5.3 %,.116,.329,.316,.355,.432,.361,102,12.8,1004205
Gary Matthews,- - -,2031,8189,234,1083,978,183,11.5 %,13.7 %,.157,.304,.281,.364,.439,.361,121,30.7,1008255
Johnny Lindell,- - -,854,3122,72,401,404,17,9.3 %,11.7 %,.156,.293,.273,.344,.429,.361,113,15.3,1007619
Bobby Grich,- - -,2003,8220,224,1033,864,104,13.2 %,15.5 %,.158,.296,.266,.371,.424,.361,129,69.2,1005033
Don Mattingly,Yankees,1771,7722,222,1007,1099,14,7.6 %,5.7 %,.164,.300,.307,.358,.471,.361,124,40.7,1008261
Merv Rettenmund,- - -,1010,3074,66,393,329,68,14.5 %,12.4 %,.135,.295,.271,.381,.406,.361,128,20.4,1010846
Bill Serena,Cubs,408,1431,48,154,198,2,12.4 %,16.4 %,.188,.275,.251,.348,.439,.361,108,5.7,1011752
Rick Monday,- - -,1966,7162,241,950,775,98,12.9 %,21.1 %,.179,.312,.264,.361,.443,.361,125,31.1,1009051
Heinie Reitz,- - -,723,3091,11,446,462,122,8.6 %,5.3 %,.099,.307,.292,.363,.391,.361,98,14.1,1010822
Tim Raines,- - -,2494,10359,170,1571,980,807,12.8 %,9.3 %,.131,.312,.294,.385,.425,.361,125,66.3,1406
Cy Seymour,- - -,1528,6204,52,737,799,222,5.7 %,7.3 %,.102,.265,.303,.347,.405,.361,116,33.6,1011777
Billy Herman,- - -,1922,8641,47,1163,839,67,8.5 %,5.0 %,.103,.318,.304,.367,.407,.361,115,55.0,1005692
Billy Nash,- - -,1549,6719,60,1072,977,265,12.0 %,6.4 %,.106,.292,.275,.366,.381,.361,107,35.4,1009456
Matt Kemp,Dodgers,966,3897,157,573,559,162,8.0 %,23.6 %,.201,.352,.293,.350,.493,.361,126,20.6,5631
Bryce Harper,Nationals,257,1094,42,169,117,29,10.7 %,19.6 %,.209,.308,.272,.353,.481,.361,128,8.3,11579
Jim Russell,- - -,1035,4145,67,554,428,59,12.1 %,10.3 %,.133,.288,.267,.360,.400,.361,110,17.5,1011315
Herm McFarland,- - -,352,1496,13,204,167,64,11.7 %,11.7 %,.122,.211,.266,.362,.388,.361,112,6.4,1008492
Leon Durham,- - -,1047,4067,147,522,530,106,10.9 %,16.7 %,.199,.303,.277,.356,.475,.361,121,15.6,1003592
Clyde Barnhart,Pirates,814,3048,27,404,436,35,8.7 %,4.9 %,.121,.305,.295,.360,.416,.360,102,10.2,1000577
Pat Burrell,- - -,1640,6520,292,767,976,7,14.3 %,24.0 %,.219,.297,.253,.361,.472,.360,117,18.5,949
Willie Clark,- - -,348,1428,2,188,199,38,8.0 %,4.9 %,.102,.300,.288,.359,.390,.360,105,6.4,1002317
George Foster,- - -,1972,7812,348,986,1239,51,8.5 %,18.2 %,.206,.296,.274,.338,.480,.360,126,47.1,1004250
Charley Jones,- - -,894,4009,56,733,552,20,5.9 %,8.5 %,.146,.321,.298,.345,.444,.360,136,29.7,1006535
Goody Rosen,- - -,551,2163,22,310,197,12,10.1 %,7.7 %,.107,.310,.291,.364,.398,.360,110,10.3,1011209
Jack Cust,- - -,670,2581,105,311,323,6,17.2 %,31.7 %,.197,.337,.242,.374,.439,.360,123,6.5,1564
Jimmy Barrett,- - -,866,3835,16,580,255,143,11.5 %, ,.068,.000,.291,.379,.359,.360,117,20.6,1000596
Charlie Maxwell,- - -,1133,3796,148,478,532,18,12.8 %,14.4 %,.187,.274,.264,.360,.451,.360,117,19.9,1008287
Bobby Bonilla,- - -,2106,8257,287,1084,1173,45,11.0 %,14.6 %,.193,.296,.279,.358,.472,.360,123,32.7,1001168
Jack Crooks,- - -,794,3466,21,536,313,220,17.6 %,7.5 %,.081,.264,.240,.385,.321,.360,108,17.2,1002797
Dustin Pedroia,Red Sox,1016,4548,99,651,493,119,9.3 %,8.9 %,.151,.314,.302,.370,.454,.360,119,34.4,8370
Rip Radcliff,- - -,1081,4436,42,598,533,40,7.0 %,3.2 %,.106,.315,.311,.362,.417,.360,97,7.1,1010634
Russ Wrightstone,- - -,929,3283,60,427,425,35,6.5 %,4.6 %,.134,.298,.297,.349,.431,.360,95,4.1,1014294
Jim O'Rourke,- - -,1999,9051,62,1729,1203,224,5.6 %,4.0 %,.112,.319,.311,.352,.423,.360,127,52.1,1009839
Hoot Evers,- - -,1142,4310,98,556,565,45,9.6 %,9.7 %,.148,.291,.278,.353,.426,.360,106,15.4,1003875
Sam Chapman,- - -,1368,5600,180,754,773,41,10.0 %,12.2 %,.171,.278,.266,.342,.438,.360,103,18.2,1002152
Steve Brodie,- - -,1437,6314,25,886,900,289,6.7 %,3.5 %,.078,.316,.303,.364,.381,.360,104,21.5,1001461
Cecil Fielder,- - -,1460,5939,319,744,1008,2,11.7 %,22.2 %,.227,.279,.255,.345,.482,.360,118,19.0,1004026
Bob Cerv,- - -,829,2516,105,320,374,12,8.4 %,15.6 %,.205,.291,.276,.340,.481,.360,120,11.6,1002107
Mike Hargrove,- - -,1628,6694,80,783,686,24,14.4 %,8.2 %,.101,.307,.290,.396,.391,.360,124,31.0,1005361
Barry Larkin,Reds,2175,9057,198,1329,960,379,10.4 %,9.0 %,.150,.306,.295,.371,.444,.360,118,67.7,335
George Burns,- - -,1853,8251,41,1188,611,383,10.6 %,6.8 %,.097,.307,.287,.366,.384,.360,118,45.8,1001708
Cliff Floyd,- - -,1606,6063,233,824,865,148,9.9 %,17.5 %,.204,.306,.278,.358,.482,.360,118,23.5,518
Ed Konetchy,- - -,2085,8664,74,972,992,255,8.0 %,7.8 %,.122,.305,.281,.346,.403,.360,119,49.3,1007093
Pat Duncan,- - -,727,3007,23,361,374,55,6.1 %,5.5 %,.114,.321,.307,.355,.420,.360,111,10.8,1003555
Ken Keltner,- - -,1526,6312,163,737,852,39,8.1 %,7.6 %,.165,.279,.276,.338,.441,.360,110,36.3,1006821
Tom Daly,- - -,1564,6483,49,1024,811,385,10.6 %,10.7 %,.108,.302,.278,.361,.387,.360,109,29.8,1002957
Morgan Ensberg,- - -,731,2580,110,340,347,22,12.9 %,16.9 %,.205,.280,.263,.362,.468,.360,116,14.4,556
Brian Downing,- - -,2319,9309,275,1188,1074,50,12.9 %,12.1 %,.158,.280,.267,.370,.425,.360,124,48.4,1003451
Victor Martinez,- - -,1308,5487,157,653,824,4,9.3 %,10.8 %,.161,.316,.303,.369,.464,.360,120,28.7,393
Jason Thompson,- - -,1407,5686,208,640,782,8,14.4 %,15.2 %,.177,.276,.261,.366,.438,.359,123,27.1,1013014
Jim Ray Hart,- - -,1125,4236,170,518,578,17,9.0 %,13.5 %,.189,.287,.278,.345,.467,.359,129,24.3,1005448
George Watkins,- - -,894,3526,73,490,420,61,7.0 %,10.8 %,.154,.310,.288,.347,.443,.359,105,11.0,1013671
Hardy Richardson,- - -,1331,6029,70,1120,822,205,6.3 %,7.4 %,.136,.316,.299,.344,.435,.359,123,43.6,1010909
Danny Green,- - -,923,3938,29,552,423,192,8.0 %, ,.098,.000,.293,.359,.391,.359,122,23.3,1004988
Dante Bichette,- - -,1687,6856,274,934,1141,152,5.2 %,15.7 %,.200,.320,.299,.336,.499,.359,104,8.9,1000946
Roberto Alomar,- - -,2371,10400,210,1508,1134,474,9.9 %,11.0 %,.143,.321,.300,.371,.443,.359,118,63.9,860
Bobby Murcer,- - -,1901,7718,252,972,1043,127,11.2 %,10.9 %,.168,.282,.277,.357,.445,.359,124,32.6,1009338
Harry Wolter,- - -,588,2248,12,286,167,95,11.9 %,9.8 %,.099,.283,.270,.365,.369,.359,117,9.8,1014200
Ernie Banks,Cubs,2528,10395,512,1305,1636,50,7.3 %,11.9 %,.225,.267,.274,.330,.500,.359,118,63.3,1000512
Grady Sizemore,Indians,892,4047,139,601,458,134,10.6 %,20.2 %,.204,.312,.269,.357,.473,.359,120,29.4,2197
Ward Miller,- - -,769,2680,8,322,221,128,11.9 %,9.2 %,.077,.311,.278,.375,.355,.359,115,12.4,1008939
Johnny Rizzo,- - -,557,2075,61,268,289,7,9.6 %,9.5 %,.166,.275,.270,.345,.435,.359,115,7.7,1011009
Justin Upton,- - -,880,3673,135,532,433,88,10.4 %,23.3 %,.198,.332,.275,.356,.473,.359,119,18.7,5222
Les Bell,- - -,896,3627,66,404,509,25,7.6 %,8.9 %,.148,.306,.290,.346,.438,.359,102,11.3,1000815
Trot Nixon,- - -,1083,4224,137,579,555,30,11.9 %,16.3 %,.190,.301,.274,.364,.464,.359,115,22.0,204
Matt Stairs,- - -,1879,6024,265,770,899,30,11.9 %,18.6 %,.214,.285,.262,.356,.477,.359,115,12.3,1384
John Mayberry,- - -,1614,6447,255,733,879,20,13.7 %,12.6 %,.186,.253,.253,.360,.439,.359,123,26.9,1008289
Ray Boone,- - -,1373,5297,151,645,737,21,11.5 %,8.7 %,.154,.277,.275,.361,.429,.359,114,27.2,1001189
Red Rolfe,Yankees,1174,5405,69,942,497,44,9.7 %,6.2 %,.124,.300,.289,.360,.413,.358,102,26.2,1011157
Tommy Tucker,- - -,1687,7266,42,1084,932,352,6.6 %,4.8 %,.083,.312,.290,.364,.373,.358,104,27.4,1013213
Larry Rosenthal,- - -,579,1765,22,240,189,13,14.2 %,11.0 %,.129,.291,.263,.370,.392,.358,99,5.1,1011211
Hersh Martin,- - -,607,2547,28,331,215,33,9.9 %,8.1 %,.123,.304,.285,.359,.408,.358,110,9.2,1008169
Kirk Gibson,- - -,1632,6656,255,985,870,284,10.8 %,19.3 %,.195,.301,.268,.352,.463,.358,123,35.9,1004669
Jim McTamany,- - -,813,3682,19,693,334,255,14.5 %,12.4 %,.099,.296,.256,.373,.355,.358,118,19.0,1008694
Sixto Lezcano,- - -,1271,4814,148,560,591,37,12.0 %,16.0 %,.168,.298,.271,.360,.440,.358,125,26.1,1007593
Andre Ethier,Dodgers,1145,4536,141,553,587,25,9.7 %,17.0 %,.182,.323,.288,.362,.470,.358,123,20.2,6265
Lip Pike,- - -,425,2032,20,433,332,47,2.4 %,2.7 %,.144,.324,.321,.338,.465,.358,136,13.3,1010347
Larry Hisle,- - -,1193,4780,166,652,674,128,9.7 %,19.7 %,.180,.312,.273,.347,.452,.358,123,23.2,1005858
Hal McRae,- - -,2080,8059,191,940,1097,109,8.0 %,9.7 %,.165,.300,.290,.351,.454,.358,122,28.7,1008687
Willie Aikens,- - -,770,2856,110,301,415,3,11.2 %,15.5 %,.184,.288,.271,.354,.455,.358,121,10.6,1000090
Steve Kemp,- - -,1164,4714,130,581,634,39,12.2 %,12.8 %,.153,.296,.278,.367,.431,.358,121,19.3,1006827
Stan Lopata,- - -,853,3034,116,375,397,18,13.0 %,16.4 %,.198,.271,.254,.351,.452,.358,114,17.3,1007749
Jimmie Dykes,- - -,2282,9347,108,1108,1071,70,10.2 %,9.1 %,.119,.303,.280,.365,.399,.358,98,32.9,1003617
Bill Madlock,- - -,1806,7372,163,920,860,174,8.2 %,6.9 %,.137,.308,.305,.365,.442,.358,121,35.0,1007957
Chris Davis,- - -,596,2317,130,309,360,11,7.7 %,30.6 %,.247,.335,.266,.327,.512,.358,120,7.7,9272
Tommy McCarthy,- - -,1275,5739,44,1069,735,468,9.4 %,3.7 %,.084,.296,.292,.364,.376,.358,105,23.3,1008379
Jimmy Collins,- - -,1725,7452,65,1055,983,194,5.7 %,3.9 %,.115,.287,.294,.343,.409,.358,111,52.5,1002455
Evar Swanson,- - -,518,2162,7,325,170,69,9.8 %,6.2 %,.087,.323,.303,.376,.390,.358,99,5.8,1012760
Willard Marshall,- - -,1246,4735,130,583,604,14,9.7 %,4.6 %,.149,.265,.274,.347,.423,.358,108,16.2,1008148
John Valentin,- - -,1099,4511,124,614,558,47,10.3 %,11.6 %,.175,.293,.279,.360,.454,.358,110,31.4,1375
Heinie Zimmerman,- - -,1456,5740,58,695,796,175,4.2 %,7.4 %,.124,.314,.295,.331,.419,.358,118,36.1,1014444
Ryan Zimmerman,Nationals,1137,4943,179,664,672,36,9.2 %,17.5 %,.191,.318,.286,.352,.477,.358,120,34.5,4220
Edwin Encarnacion,- - -,1079,4343,195,561,606,49,10.0 %,15.8 %,.215,.275,.265,.348,.479,.358,118,15.9,2151
Harold Baines,- - -,2815,11092,384,1299,1628,34,9.6 %,13.0 %,.175,.303,.289,.356,.465,.358,119,38.5,1000434
Dom Dallessandro,- - -,746,2269,22,242,303,16,13.7 %,6.6 %,.114,.281,.267,.369,.381,.357,114,8.3,1002947
Reggie Sanders,- - -,1769,7043,305,1037,983,304,9.6 %,22.9 %,.220,.312,.267,.343,.487,.357,115,39.4,1129
Freddy Leach,- - -,991,3996,72,543,509,32,4.1 %,4.7 %,.139,.310,.307,.341,.446,.357,98,7.6,1007424
George Anderson,- - -,269,1139,5,148,69,36,8.6 %,9.7 %,.088,.319,.287,.359,.375,.357,114,4.7,1000227
Craig Wilson,- - -,695,2311,99,303,292,14,8.6 %,27.8 %,.211,.335,.262,.353,.474,.357,115,5.6,1015
Jon Nunnally,- - -,342,1049,42,162,125,19,13.9 %,22.8 %,.223,.289,.246,.354,.469,.357,111,5.4,1009660
Frank Demaree,- - -,1155,4616,72,578,591,33,7.8 %,5.8 %,.115,.307,.299,.357,.415,.357,112,17.7,1003190
Joe Kuhel,- - -,2104,9095,131,1236,1049,178,10.8 %,6.7 %,.129,.287,.277,.359,.406,.357,105,27.7,1007202
Lonnie Smith,- - -,1596,5952,98,909,533,370,10.5 %,14.3 %,.132,.326,.288,.371,.420,.357,123,35.0,1012176
Smoky Burgess,- - -,1691,5013,126,485,673,13,9.5 %,5.4 %,.151,.290,.295,.362,.446,.357,115,34.2,1001665
Joe Sullivan,- - -,413,1829,11,287,227,49,6.3 %,4.4 %,.083,.309,.299,.362,.381,.357,94,-0.3,1012697
Corey Koskie,- - -,989,3950,124,516,506,71,11.6 %,20.1 %,.183,.323,.275,.367,.458,.357,113,26.3,738
Freddie Freeman,Braves,471,1908,68,250,280,7,9.6 %,21.0 %,.181,.334,.285,.358,.466,.357,127,7.1,5361
Fred Luderus,- - -,1346,5406,84,570,642,55,7.7 %,7.9 %,.126,.290,.277,.340,.403,.357,114,20.1,1007813
Algie McBride,- - -,403,1770,12,258,179,36,7.5 %,8.3 %,.093,.240,.292,.356,.385,.357,107,4.7,1008339
George Tebeau,- - -,627,2661,15,440,311,228,12.2 %,9.2 %,.108,.304,.269,.364,.376,.357,106,9.0,1012899
Al Zarilla,- - -,1120,4034,61,507,456,33,10.3 %,9.5 %,.129,.296,.276,.357,.405,.357,102,7.5,1014420
Curtis Granderson,- - -,1187,5044,217,780,606,122,10.2 %,23.1 %,.228,.305,.261,.340,.488,.357,118,33.2,4747
Ernie Orsatti,Cardinals,701,2388,10,306,237,46,7.4 %,9.1 %,.109,.337,.306,.360,.416,.357,104,6.4,1009850
Jeff Burroughs,- - -,1684,6449,240,720,882,16,12.9 %,17.6 %,.179,.285,.261,.355,.439,.357,121,18.2,1001731
Bobby Thomson,- - -,1779,6957,264,903,1026,38,8.0 %,11.6 %,.191,.274,.270,.332,.462,.357,110,31.3,1013032
Jeremy Giambi,- - -,506,1705,52,219,209,1,14.7 %,20.9 %,.167,.314,.263,.377,.430,.357,114,2.5,913
Bill Dahlen,- - -,2443,10390,84,1589,1233,547,10.2 %,7.6 %,.110,.317,.272,.358,.382,.357,108,77.5,1002924
Eric Tipton,- - -,501,1888,22,212,151,20,11.8 %,6.7 %,.113,.282,.270,.360,.383,.357,114,8.6,1013080
Fred Schulte,- - -,1179,4807,47,686,593,56,9.6 %,7.5 %,.117,.310,.291,.362,.408,.357,99,13.6,1011632
Billy Butler,Royals,1015,4208,118,445,562,5,9.2 %,14.3 %,.161,.327,.298,.364,.459,.357,120,9.8,7399
Nick Swisher,- - -,1354,5647,231,758,736,13,13.2 %,21.4 %,.207,.291,.255,.358,.462,.357,119,27.7,4599
Dale Murphy,- - -,2175,9041,398,1197,1266,161,10.9 %,19.3 %,.204,.292,.265,.346,.469,.357,119,44.3,1009355
Danny Murphy,- - -,1496,5978,44,705,702,193,5.6 %,9.2 %,.116,.328,.289,.336,.405,.357,124,34.5,1009352
Alex Metzler,- - -,560,2298,9,290,207,46,11.3 %,6.3 %,.099,.304,.285,.374,.384,.357,101,6.4,1008814
Jim Delahanty,- - -,1186,4688,19,520,489,151,8.1 %,8.5 %,.089,.316,.283,.357,.373,.357,121,19.2,1003157
Fred Tenney,- - -,1994,8807,22,1278,688,285,9.9 %,3.8 %,.065,.312,.294,.371,.358,.357,111,45.5,1012916
Max Carey,- - -,2476,10770,70,1545,800,738,9.7 %,6.5 %,.101,.302,.285,.361,.386,.357,110,60.0,1001944
Richard Hidalgo,- - -,975,3929,171,531,560,48,9.1 %,18.8 %,.221,.292,.269,.345,.490,.357,111,21.6,561
Hideki Matsui,- - -,1236,5066,175,656,760,13,10.8 %,13.6 %,.180,.297,.282,.360,.462,.357,119,12.7,1659
Willie Kamm,- - -,1693,6935,29,802,826,126,11.9 %,5.8 %,.103,.298,.281,.372,.384,.356,100,32.0,1006683
Sam Dungan,- - -,382,1685,3,214,197,38,6.9 %,2.7 %,.086,.297,.301,.356,.386,.356,104,3.8,1003561
Fred Snodgrass,- - -,923,3658,11,453,351,215,10.6 %,10.1 %,.084,.309,.275,.367,.359,.356,114,19.7,1012234
Hub Collins,- - -,680,3130,11,653,319,335,10.6 %,8.9 %,.085,.302,.284,.365,.369,.356,116,18.8,1002454
Chet Lemon,- - -,1979,7874,215,973,884,58,9.5 %,13.0 %,.169,.292,.273,.355,.442,.356,122,52.0,1007518
Tony Perez,- - -,2773,10861,379,1272,1652,49,8.5 %,17.2 %,.184,.308,.279,.341,.463,.356,121,58.9,1010188
Ray Chapman,Naps,1051,4590,17,671,364,233,9.8 %,9.3 %,.099,.309,.278,.358,.377,.356,111,28.9,1002151
